id,lat,lon
108171116,-12.0897849,-77.0337836
108171117,-12.0906388,-77.0336533
108171125,-12.0944786,-77.0330971
108171129,-12.0955413,-77.0329479
108171130,-12.0961819,-77.0328482
108171132,-12.0970696,-77.0327155
108171135,-12.0980967,-77.032573
108171136,-12.1007162,-77.0321388
108171139,-12.102833,-77.0317761
108172213,-12.1077209,-77.0308012
108172214,-12.1066389,-77.0309776
108172216,-12.10559,-77.0311538
108172222,-12.1023636,-77.0317
108172224,-12.1017896,-77.031796
108177573,-12.1194441,-77.0289561
108177576,-12.1192979,-77.0288816
108177580,-12.1182774,-77.0290071
108177584,-12.1169466,-77.0292257
108177587,-12.1159226,-77.0293963
108177589,-12.1137747,-77.0297656
108177590,-12.113698,-77.0297793
108177591,-12.1116159,-77.0301498
108177593,-12.1105781,-77.0303225
108177596,-12.1095394,-77.0304904
108177597,-12.1093146,-77.0305282
108178119,-12.1245531,-77.0293907
108178122,-12.1223648,-77.0290937
108178124,-12.121318,-77.0290097
108178130,-12.1198384,-77.0289671
108178882,-12.1193396,-77.029251
108180343,-12.1095416,-77.0306371
108180344,-12.1105917,-77.0304668
108180346,-12.1116194,-77.0302875
108180347,-12.1126445,-77.0301158
108180348,-12.1137042,-77.0299433
108180350,-12.1137763,-77.0299324
108180353,-12.1148553,-77.0297546
108180354,-12.1159231,-77.0295729
108180355,-12.1169545,-77.0293879
108180356,-12.1179957,-77.0292057
108183448,-12.1313917,-77.029886
108183453,-12.1308061,-77.0298424
108183454,-12.1301537,-77.0297892
108183455,-12.1298024,-77.0297564
108183456,-12.1286964,-77.029655
108183457,-12.1278111,-77.0295662
108183458,-12.1268706,-77.0295303
108183459,-12.1259848,-77.029461
108183461,-12.1254635,-77.0294338
108188418,-12.1291544,-77.0346665
108188424,-12.1299425,-77.0341062
108188430,-12.1301033,-77.0330102
108188432,-12.1301501,-77.0329204
108188442,-12.1309858,-77.0321617
108188451,-12.130841,-77.0310648
108188458,-12.1321849,-77.0291248
108191733,-12.1241355,-77.0316671
108191735,-12.1244197,-77.0301716
108191737,-12.1247796,-77.0279301
108191738,-12.1249385,-77.0269052
108191739,-12.1250987,-77.0259423
108191740,-12.1253462,-77.0244399
108191741,-12.12544,-77.0238773
108191742,-12.1254749,-77.0236509
108191743,-12.1257449,-77.0219502
108191744,-12.1258713,-77.0210801
108191745,-12.1260021,-77.0202573
108191746,-12.126204,-77.0189507
108191747,-12.1263295,-77.0181137
108193635,-12.1224665,-77.0313429
108193650,-12.1276021,-77.0361476
108215804,-12.1028551,-77.0463617
108215811,-12.100471,-77.0511016
108215859,-12.1043623,-77.0399284
108215860,-12.1042362,-77.0404948
108215862,-12.1039721,-77.0415953
108215864,-12.1037887,-77.0424399
108215865,-12.1035836,-77.0433127
108215866,-12.1033911,-77.0441477
108215867,-12.1030609,-77.0456133
108217792,-12.1029392,-77.04135
108217795,-12.1027559,-77.0422003
108217796,-12.1025596,-77.0430866
108218710,-12.0979183,-77.0350363
108218712,-12.0986785,-77.0352748
108218713,-12.0991659,-77.0354129
108218714,-12.0996656,-77.0354904
108218715,-12.1006224,-77.0357163
108218716,-12.1036554,-77.0360726
108218717,-12.1041543,-77.0361301
108218719,-12.1047379,-77.0362068
108218720,-12.1051903,-77.0362631
108218722,-12.1062931,-77.0362618
108218723,-12.1072186,-77.0364677
108219936,-12.1018376,-77.0338258
108220306,-12.1020383,-77.0297117
108220567,-12.1009869,-77.0298912
108220568,-12.1014742,-77.0297989
