origen,destino,nombre,longitud,velocidad_max,tipo_via,sentido_unico,vulnerabilidad
3630222472,4352989151,Avenida Aviación,10.765540213489194,60,primary,True,0.2
3630222483,3903819668,Jirón Eduardo Ordoñez,56.79666761349508,40,residential,True,0.8
3630222483,3630222488,Jirón Arquitecto Fernando Echeandia,176.13013670941433,30,residential,True,0.8
3630222488,3630222489,Jirón Arq. Fernando Echeandia,44.62581184382168,30,residential,False,0.8
3630222488,3630229204,Calle Alberto Jochamowitz,219.22289801861476,30,residential,True,0.8
3630222489,412528297,Jirón Eduardo Ordoñez,74.10539851740627,40,residential,True,0.8
3630222489,3630222488,Jirón Arq. Fernando Echeandia,44.62581184382168,30,residential,False,0.8
3630229204,3630229213,Avenida Aviación,144.31457707520954,30,residential,True,0.8
3630229204,4352989150,Jirón Luis Tapia García,13.976936970965562,40,residential,False,0.8
3630229213,4115602737,Avenida Aviación,13.699753793705687,40,residential,True,0.8
3630229215,4353006213,Avenida Paul Linder Lob,15.837455215033874,40,residential,True,0.8
3630229215,3630330855,Avenida Jorge Muelle,28.050613405647645,30,residential,True,0.8
3630229218,3630229215,Avenida Paul Linder Lob,47.85215015510149,40,residential,True,0.8
3630229223,412528295,Jirón Eduardo Ordoñez,99.5873473635525,40,residential,True,0.8
3630229223,326021261,Avenida Paul Linder Lob,99.72844309465953,40,residential,True,0.8
3630330845,473978225,Jirón José Álvarez Calderón,120.63818216823633,40,residential,False,0.8
3630330845,515494213,Jirón José Álvarez Calderón,154.66380340544808,40,residential,False,0.8
3630330845,3630330846,Calle Alberto Urquiaga,130.31764372056773,30,residential,False,0.8
3630330846,1841915508,Avenida Ricardo Malachowsky,122.77578587152696,40,tertiary,True,0.6
3630330846,1348442729,Calle Alberto Urquiaga,10.40100518144631,30,residential,False,0.8
3630330846,3630330845,Calle Alberto Urquiaga,130.31764372056773,30,residential,False,0.8
3630330855,1273664820,Calle Jorge Muelle,164.19793275817565,30,residential,False,0.8
3630330855,3630330864,Avenida Jorge Muelle,27.04922099678284,30,residential,True,0.8
3630330864,4351533393,Avenida Aviación,60.85994854968608,60,primary,True,0.2
3630330869,4115602736,Jirón Enrique Seoane,346.4197103692284,30,residential,False,0.8
3630330869,473974957,Jirón Enrique Seoane,11.378456059835983,30,residential,False,0.8
3630330869,6408227574,Avenida Paul Linder Lob,63.41165620164622,40,residential,True,0.8
3630420663,412529893,Calle Hans Oersted,109.25015828721844,40,residential,False,0.8
3630420663,316627682,Avenida José Gálvez Barrenechea,165.9853311389592,60,secondary,True,0.4
3638061077,1957562196,Avenida Paseo de la República,16.05766383739654,50,secondary,True,0.4
3638061077,3638061080,Avenida Ayacucho,81.2642530565652,50,tertiary,True,0.6
3638061079,3638061080,Calle Doña Delmira,17.78226462960873,40,tertiary,True,0.6
3638061079,1957562196,Avenida Ayacucho,81.22288127408687,50,tertiary,True,0.6
3638061080,434289268,Calle Doña Delmira,165.9743448327526,40,tertiary,True,0.6
3638097998,414231254,Avenida Intihuatana,40.063779755837125,60,secondary,True,0.4
3638097998,1273488172,Avenida Aviación,72.36794778286298,60,primary,True,0.2
3643155755,4429133081,Calle Los Capulíes,86.33393424486366,40,residential,False,0.8
3643155755,386122611,Calle Los Capulíes,53.5578429976489,40,residential,False,0.8
3643155755,386116828,Calle Las Viñas,131.5611048360695,40,residential,True,0.8
3649181792,3649181793,Calle sin nombre,50.28268220273394,40,motorway_link,True,0.8
3649181792,5581359955,Avenida Panamericana Sur,133.14180025806246,80,motorway,True,0.1
3649181793,421229268,Cristobal de Peralta Sur,15.652608310793363,40,tertiary,True,0.6
3649181793,421229019,Avenida Buganvilla,61.5509792375539,50,tertiary,True,0.6
3649181794,421229649,Calle sin nombre,37.77000232947879,40,motorway_link,True,0.8
3649181794,3649181797,Avenida Panamericana Sur,75.29629961911257,80,motorway,True,0.1
3649181797,316072429,Avenida Panamericana Sur,80.44137947117079,80,motorway,True,0.1
3649272055,392148429,Jirón Alfredo Galeón,20.02176541304219,40,residential,False,0.8
3649272055,392148551,Avenida Esmeralda,115.79218028522028,40,tertiary,True,0.6
3672893676,316634032,Avenida Juan E. Pazos,189.85146278963717,45,tertiary,True,0.6
3672906437,1405227825,Jirón Santa Rosa,11.32846949455157,40,residential,True,0.8
3672906437,678989810,Avenida Coronel Fransisco Bolognesi,86.93315990951362,60,primary,True,0.2
3672931639,316634026,Avenida Coronel Fransisco Bolognesi,29.302399872990165,40,primary,True,0.2
3672931639,3672931642,Calle sin nombre,43.318445887716216,30,primary_link,True,0.8
3672931642,391022972,Avenida Balta,113.20711098691235,40,secondary,True,0.4
3672931645,5476366884,Calle sin nombre,176.70798239375264,60,trunk_link,True,0.8
3672931645,4350283331,Quebrada de Armendariz,60.079650801961165,60,trunk,True,0.8
3699336106,411309445,Calle José Gabriel Chariarse,54.03108673236558,30,residential,True,0.8
3699336106,2212550486,Avenida Reducto,114.68707497580478,60,secondary,True,0.4
3707025317,4337293907,Calle sin nombre,31.911088856505717,30,secondary_link,True,0.8
3707025317,10092527765,Avenida Reducto,89.32755469945054,60,secondary,True,0.4
3707030301,4337295647,Calle sin nombre,89.76483344753979,40,secondary_link,True,0.8
3707030301,10092527767,Avenida Reducto,87.87755519984732,60,secondary,True,0.4
3708594988,464003854,Cesar Concha,60.792686880779335,40,residential,False,0.8
3708594988,390999104,Jirón General Luís La Puerta,139.24362855862893,40,residential,False,0.8
3708594988,390999097,Jirón General Luís La Puerta,133.06653758043407,40,residential,False,0.8
3718590096,3718590098,Avenida Paseo de la República,88.6660042204385,50,primary,True,0.2
3718590096,262574054,Calle San Augustín,84.13778171052557,40,residential,True,0.8
3718590098,262573406,Avenida Paseo de la República,54.00932937264895,50,primary,True,0.2
3725508786,4139153207,Avenida Víctor Andrés Belaúnde,123.33246601200814,40,tertiary,True,0.6
3725508786,134250231,Avenida Camino Real,199.9743966449104,60,secondary,True,0.4
3725508796,1431652831,Avenida Víctor Andrés Belaúnde,11.05654809228442,30,secondary,True,0.4
3725508800,3725508802,Ovalo José Quiñones,25.2415682116974,60,secondary,True,0.4
3725508802,419482881,Avenida Guardia Civil,131.49900671466256,60,secondary,True,0.4
3725508802,316627511,Ovalo José Quiñones,68.36547929313643,60,secondary,True,0.4
3725508815,3725508817,Auxiliar Avenida Angamos Este,7.282908035443853,40,secondary,True,0.4
3725508815,392149759,Avenida Intihuatana,143.5220378139124,60,secondary,True,0.4
3725508817,3069173397,Auxiliar Avenida Angamos Este,51.60702945609014,40,secondary,True,0.4
3725508817,386855623,Avenida Caminos del Inca,68.6716751255571,50,secondary,True,0.4
3725508823,10813887754,Plaza Centro América,15.000284568311514,40,secondary,True,0.4
3738262366,411672095,Avenida Circunvalación del Golf de los Incas,11.604810452064392,60,secondary,True,0.4
3743408643,1641248432,Víctor Velezmoro,52.17750182952509,40,tertiary,True,0.6
3743408643,7085445110,Auxiliar Avenida Circunvalación,89.63184132666592,40,secondary,True,0.4
3743408647,4376219517,Auxiliar Avenida Circunvalación,26.222105005877825,40,secondary,True,0.4
3743408658,263104819,Calle sin nombre,50.45008645871516,30,primary_link,True,0.8
3743408658,1427717141,Avenida Enrique Canaval y Moreyra,44.078387688318045,50,tertiary,True,0.6
3743408663,262728440,Avenida General Salaverry,80.41554486443687,45,secondary,True,0.4
3777377069,414231233,Jirón Preciados,37.28207301556242,40,residential,False,0.8
3777377069,3777377070,Calle Henraud Leger,49.55171849995729,40,residential,False,0.8
3777377069,1273817215,Jirón Preciados,114.83541086656678,40,residential,False,0.8
3777377070,3777377069,Calle Henraud Leger,49.55171849995729,40,residential,False,0.8
3777377070,4396923099,Calle Henraud Leger,47.68923709827281,40,residential,False,0.8
3777377070,4396923103,Jirón Rubén Darío,121.47126862019677,40,residential,False,0.8
3777385835,3777385836,Avenida Comandante Espinar,5.972373460755699,30,secondary,True,0.4
3777385835,262570769,Avenida Angamos Oeste,115.9029911505406,40,primary,True,0.2
3777385836,3777385837,Avenida Angamos Oeste,16.364459188030047,40,primary,True,0.2
3777385836,262570986,Avenida Comandante Espinar,146.15025937499328,30,secondary,True,0.4
3777385837,3777385835,Avenida Angamos Oeste,16.18197794498747,40,primary,True,0.2
3777385837,3777385840,Avenida Angamos Oeste,114.11095538722292,40,primary,False,0.2
3777385837,262577723,Avenida Comandante Espinar,89.58711180191142,60,secondary,True,0.4
3777385840,262577820,Calle General Iglesias,84.57731934171402,50,residential,True,0.8
3777385840,262570771,Avenida Angamos Oeste,98.40771243561588,40,primary,False,0.2
3777385840,3777385837,Avenida Angamos Oeste,114.11095538722292,40,primary,False,0.2
3782679262,10748661748,Calle sin nombre,28.1559016117279,40,unclassified,True,0.8
3782679262,10748661752,Circuito de Playas,67.36055550139079,80,trunk,True,0.8
3787830258,3787830259,Calle sin nombre,24.836399467960455,20,primary_link,True,0.8
3787830258,392154421,Avenida Nicolàs Rodrigo,53.19815230622999,40,primary,True,0.2
3787830259,3787830275,Avenida Primavera,11.258658453757109,60,primary,True,0.2
3787830275,3787830276,Calle sin nombre,17.267121241268203,40,living_street,False,0.8
3787830275,419882985,Avenida Primavera,215.74812258489348,60,primary,True,0.2
3787830276,3787830275,Calle sin nombre,17.267121241268203,40,living_street,False,0.8
3788360379,4497467907,Avenida Alfredo Benavides,30.34386365096928,60,primary,True,0.2
